"seqnames"	"start"	"end"	"width"	"strand"	"EnsemblID"	"Symbol"	"CTCF"
"chr12"	110582321	110584320	2000	"-"	"ENSG00000196850"	"PPTC7"	1
"chr17"	4986653	4988652	2000	"-"	"ENSG00000108509"	"CAMTA2"	0
"chr20"	21302304	21304303	2000	"+"	"ENSG00000088930"	"XRN2"	4
"chr11"	61428220	61430219	2000	"+"	"ENSG00000256591"	"RP11-286N22.8"	2
"chrX"	106167305	106169304	2000	"+"	"ENSG00000157502"	"MUM1L1"	0
"chrX"	120629151	120631150	2000	"-"	"ENSG00000171155"	"C1GALT1C1"	1
"chr17"	78186317	78188316	2000	"+"	"ENSG00000183077"	"AFMID"	0
"chr1"	21508372	21510371	2000	"+"	"ENSG00000162551"	"ALPL"	4
"chr3"	196941623	196943622	2000	"+"	"ENSG00000270170"	"NCBP2-AS2"	3
"chr19"	46660139	46662138	2000	"-"	"ENSG00000197380"	"DACT3"	2
"chr14"	57268009	57270008	2000	"-"	"ENSG00000070367"	"EXOC5"	4
"chr18"	50878049	50880048	2000	"+"	"ENSG00000082212"	"ME2"	1
"chr19"	57915611	57917610	2000	"-"	"ENSG00000173480"	"ZNF417"	3
"chr11"	44064925	44066924	2000	"+"	"ENSG00000110455"	"ACCS"	2
"chr9"	136790379	136792378	2000	"+"	"ENSG00000272896"	"RP11-216L13.17"	3
"chr5"	62305162	62307161	2000	"+"	"ENSG00000068796"	"KIF2A"	0
"chr14"	23041167	23043166	2000	"+"	"ENSG00000222028"	"PSMB11"	1
"chr3"	184313495	184315494	2000	"+"	"ENSG00000114867"	"EIF4G1"	1
"chr6"	110981015	110983014	2000	"+"	"ENSG00000197498"	"RPF2"	2
"chr6"	33316943	33318942	2000	"-"	"ENSG00000236104"	"ZBTB22"	1
"chr17"	44829817	44831816	2000	"-"	"ENSG00000182963"	"GJC1"	2
"chr7"	54758975	54760974	2000	"-"	"ENSG00000132432"	"SEC61G"	3
"chr17"	8162547	8164546	2000	"-"	"ENSG00000220205"	"VAMP2"	1
"chrX"	50201713	50203712	2000	"+"	"ENSG00000147082"	"CCNB3"	0
"chr6"	167995241	167997240	2000	"+"	"ENSG00000125337"	"KIF25"	0
"chr3"	51954314	51956313	2000	"+"	"ENSG00000180929"	"GPR62"	0
"chr13"	42780550	42782549	2000	"+"	"ENSG00000179813"	"FAM216B"	1
"chr4"	121226467	121228466	2000	"-"	"ENSG00000050730"	"TNIP3"	0
"chr19"	36686612	36688611	2000	"+"	"ENSG00000189042"	"ZNF567"	0
"chrX"	153829566	153831565	2000	"-"	"ENSG00000067840"	"PDZD4"	1
"chr19"	19319681	19321680	2000	"+"	"ENSG00000129933"	"MAU2"	1
"chr3"	51974050	51976049	2000	"+"	"ENSG00000114786"	"ABHD14A-ACY1"	8
"chr14"	75901136	75903135	2000	"+"	"ENSG00000119650"	"IFT43"	1
"chr4"	165030953	165032952	2000	"+"	"ENSG00000176979"	"TRIM60"	0
"chr2"	233616645	233618644	2000	"+"	"ENSG00000242366"	"UGT1A8"	2
"chr3"	59049085	59051084	2000	"-"	"ENSG00000163689"	"C3orf67"	6
"chr3"	157159761	157161760	2000	"-"	"ENSG00000163660"	"CCNL1"	1
"chr17"	35577046	35579045	2000	"+"	"ENSG00000006125"	"AP2B1"	63
"chrX"	52519804	52521803	2000	"-"	"ENSG00000204382"	"XAGE1B"	0
"chr7"	159143958	159145957	2000	"-"	"ENSG00000106018"	"VIPR2"	0
"chr1"	45686214	45688213	2000	"+"	"ENSG00000159596"	"TMEM69"	0
"chr3"	142723074	142725073	2000	"+"	"ENSG00000144935"	"TRPC1"	1
"chr15"	89086459	89088458	2000	"+"	"ENSG00000140526"	"ABHD2"	0
"chrX"	65533776	65535775	2000	"-"	"ENSG00000001497"	"LAS1L"	0
"chr12"	123601077	123603076	2000	"+"	"ENSG00000111364"	"DDX55"	4
"chr3"	53845391	53847390	2000	"-"	"ENSG00000016391"	"CHDH"	4
"chr20"	45971173	45973172	2000	"-"	"ENSG00000198026"	"ZNF335"	2
"chr11"	58507106	58509105	2000	"-"	"ENSG00000198283"	"OR5B21"	0
"chr20"	34515409	34517408	2000	"+"	"ENSG00000125971"	"DYNLRB1"	2
"chr4"	2417974	2419973	2000	"+"	"ENSG00000249428"	"CFAP99"	11
"chr19"	15463572	15465571	2000	"-"	"ENSG00000105122"	"RASAL3"	4
"chr6"	43242680	43244679	2000	"+"	"ENSG00000146216"	"TTBK1"	9
"chr7"	6550437	6552436	2000	"-"	"ENSG00000215045"	"GRID2IP"	3
"chr1"	227562543	227564542	2000	"+"	"ENSG00000181450"	"ZNF678"	2
"chr10"	48655266	48657265	2000	"-"	"ENSG00000128805"	"ARHGAP22"	3
"chr1"	153000747	153002746	2000	"+"	"ENSG00000163209"	"SPRR3"	0
"chr2"	72886360	72888359	2000	"+"	"ENSG00000116096"	"SPR"	1
"chr6"	131134666	131136665	2000	"+"	"ENSG00000118507"	"AKAP7"	1
"chr3"	138173950	138175949	2000	"-"	"ENSG00000138231"	"DBR1"	5
"chrX"	30652359	30654358	2000	"+"	"ENSG00000198814"	"GK"	8
"chr10"	24722669	24724668	2000	"-"	"ENSG00000107863"	"ARHGAP21"	3
"chr19"	41876120	41878119	2000	"+"	"ENSG00000105369"	"CD79A"	0
"chr19"	9497608	9499607	2000	"-"	"ENSG00000198028"	"ZNF560"	1
"chr3"	138433586	138435585	2000	"+"	"ENSG00000158220"	"ESYT3"	0
"chr22"	50011660	50013659	2000	"-"	"ENSG00000188263"	"IL17REL"	3
"chr8"	84181787	84183786	2000	"+"	"ENSG00000184672"	"RALYL"	2
"chr4"	70901326	70903325	2000	"+"	"ENSG00000173542"	"MOB1B"	1
"chrX"	120874930	120876929	2000	"-"	"ENSG00000236446"	"CT47B1"	0
"chr15"	90953870	90955869	2000	"+"	"ENSG00000166965"	"RCCD1"	1
"chr8"	22274297	22276296	2000	"+"	"ENSG00000197181"	"PIWIL2"	1
"chr3"	133398995	133400994	2000	"+"	"ENSG00000170819"	"BFSP2"	0
"chr7"	153886097	153888096	2000	"+"	"ENSG00000130226"	"DPP6"	0
"chrX"	143516476	143518475	2000	"-"	"ENSG00000189252"	"SPANXN3"	0
"chr3"	158731697	158733696	2000	"-"	"ENSG00000118849"	"RARRES1"	2
"chr3"	33440372	33442371	2000	"-"	"ENSG00000153560"	"UBP1"	1
"chr3"	132653446	132655445	2000	"+"	"ENSG00000081307"	"UBA5"	0
"chr19"	7496450	7498449	2000	"-"	"ENSG00000104883"	"PEX11G"	4
"chr16"	76007	78006	2000	"+"	"ENSG00000103152"	"MPG"	0
"chr2"	169478178	169480177	2000	"+"	"ENSG00000163093"	"BBS5"	4
"chr10"	60777331	60779330	2000	"+"	"ENSG00000170312"	"CDK1"	1
"chr17"	8161976	8163975	2000	"-"	"ENSG00000263620"	"RP11-599B13.6"	0
"chr10"	47998792	48000791	2000	"-"	"ENSG00000276430"	"FAM25C"	0
"chr7"	143442453	143444452	2000	"+"	"ENSG00000185899"	"TAS2R60"	0
"chr1"	18920122	18922121	2000	"-"	"ENSG00000255275"	"RP13-279N23.2"	2
"chr19"	2782372	2784371	2000	"-"	"ENSG00000104969"	"SGTA"	53
"chr10"	70887785	70889784	2000	"-"	"ENSG00000166228"	"PCBD1"	0
"chr7"	143476873	143478872	2000	"+"	"ENSG00000221855"	"TAS2R41"	0
"chr11"	134252495	134254494	2000	"+"	"ENSG00000151498"	"ACAD8"	1
"chr15"	71114495	71116494	2000	"-"	"ENSG00000225362"	"CT62"	0
"chr19"	51904041	51906040	2000	"-"	"ENSG00000198093"	"ZNF649"	2
"chr22"	24010192	24012191	2000	"+"	"ENSG00000099991"	"CABIN1"	1
"chr2"	74554691	74556690	2000	"-"	"ENSG00000115318"	"LOXL3"	1
"chr12"	51046962	51048961	2000	"+"	"ENSG00000050426"	"LETMD1"	0
"chr1"	45305210	45307209	2000	"-"	"ENSG00000162415"	"ZSWIM5"	0
"chr8"	38385207	38387206	2000	"+"	"ENSG00000165046"	"LETM2"	7
"chr14"	92512774	92514773	2000	"+"	"ENSG00000100599"	"RIN3"	1
"chr3"	187196486	187198485	2000	"+"	"ENSG00000175077"	"RTP1"	2
"chr4"	73981125	73983124	2000	"-"	"ENSG00000163737"	"PF4"	0
"chr22"	35298275	35300274	2000	"+"	"ENSG00000100284"	"TOM1"	4
"chr17"	50372215	50374214	2000	"-"	"ENSG00000108826"	"MRPL27"	0
"chr7"	99734197	99736196	2000	"-"	"ENSG00000160870"	"CYP3A7"	2
"chr10"	101353033	101355032	2000	"+"	"ENSG00000166167"	"BTRC"	2
"chr1"	236347262	236349261	2000	"+"	"ENSG00000186197"	"EDARADD"	1
"chr2"	11347331	11349330	2000	"-"	"ENSG00000134318"	"ROCK2"	1
"chr1"	9087479	9089478	2000	"-"	"ENSG00000142583"	"SLC2A5"	0
"chr6"	89828894	89830893	2000	"+"	"ENSG00000118412"	"CASP8AP2"	2
"chr3"	52703955	52705954	2000	"+"	"ENSG00000114902"	"SPCS1"	12
"chr8"	100662416	100664415	2000	"-"	"ENSG00000174226"	"SNX31"	1
"chr10"	32055432	32057431	2000	"-"	"ENSG00000170759"	"KIF5B"	1
"chr1"	1205692	1207691	2000	"-"	"ENSG00000186891"	"TNFRSF18"	4
"chr2"	46540806	46542805	2000	"+"	"ENSG00000119729"	"RHOQ"	6
"chr3"	69541584	69543583	2000	"-"	"ENSG00000114541"	"FRMD4B"	1
"chr19"	51878872	51880871	2000	"+"	"ENSG00000176024"	"ZNF613"	0
"chr14"	24336383	24338382	2000	"-"	"ENSG00000258973"	"RP11-934B9.3"	0
"chr17"	40702751	40704750	2000	"-"	"ENSG00000167916"	"KRT24"	2
"chr7"	143380080	143382079	2000	"+"	"ENSG00000159840"	"ZYX"	0
"chr6"	42983499	42985498	2000	"+"	"ENSG00000112640"	"PPP2R5D"	4
"chr17"	47895150	47897149	2000	"+"	"ENSG00000167182"	"SP2"	2
"chr5"	160118424	160120423	2000	"-"	"ENSG00000170234"	"PWWP2A"	1
"chr7"	66113604	66115603	2000	"+"	"ENSG00000241258"	"CRCP"	2
"chrX"	13733745	13735744	2000	"+"	"ENSG00000046651"	"OFD1"	0
"chr1"	169763706	169765705	2000	"-"	"ENSG00000007908"	"SELE"	5
"chr1"	13582465	13584464	2000	"+"	"ENSG00000162493"	"PDPN"	0
"chr12"	9207371	9209370	2000	"-"	"ENSG00000126838"	"PZP"	4
"chrX"	51331231	51333230	2000	"+"	"ENSG00000122824"	"NUDT10"	0
"chr19"	43464661	43466660	2000	"-"	"ENSG00000124466"	"LYPD3"	1
"chr9"	34627108	34629107	2000	"-"	"ENSG00000205143"	"ARID3C"	7
"chr13"	98751655	98753654	2000	"-"	"ENSG00000088386"	"SLC15A1"	1
"chr7"	140062722	140064721	2000	"-"	"ENSG00000059378"	"PARP12"	3
"chr20"	50189734	50191733	2000	"+"	"ENSG00000172216"	"CEBPB"	4
"chr2"	206764548	206766547	2000	"-"	"ENSG00000138400"	"MDH1B"	2
"chr16"	82010489	82012488	2000	"-"	"ENSG00000184860"	"SDR42E1"	0
"chr16"	46972789	46974788	2000	"-"	"ENSG00000069345"	"DNAJA2"	1
"chr12"	27465810	27467809	2000	"+"	"ENSG00000165935"	"SMCO2"	0
"chr17"	8155507	8157506	2000	"-"	"ENSG00000179094"	"PER1"	8
"chr14"	105485317	105487316	2000	"+"	"ENSG00000213145"	"CRIP1"	18
"chr11"	129278325	129280324	2000	"-"	"ENSG00000134909"	"ARHGAP32"	2
"chr6"	43075268	43077267	2000	"+"	"ENSG00000112655"	"PTK7"	1
"chr11"	18633792	18635791	2000	"-"	"ENSG00000179119"	"SPTY2D1"	0
"chr1"	161549738	161551737	2000	"-"	"ENSG00000203747"	"FCGR3A"	0
"chr12"	101829939	101831938	2000	"-"	"ENSG00000111670"	"GNPTAB"	0
"chr16"	28494576	28496575	2000	"-"	"ENSG00000188603"	"CLN3"	0
"chr19"	7491976	7493975	2000	"+"	"ENSG00000198723"	"C19orf45"	1
"chr1"	201981372	201983371	2000	"+"	"ENSG00000176393"	"RNPEP"	4
"chr12"	31590098	31592097	2000	"-"	"ENSG00000170456"	"DENND5B"	0
"chr13"	46437191	46439190	2000	"-"	"ENSG00000102445"	"KIAA0226L"	0
"chr16"	2979540	2981539	2000	"-"	"ENSG00000127564"	"PKMYT1"	0
"chr11"	61480120	61482119	2000	"+"	"ENSG00000162148"	"PPP1R32"	2
"chr12"	8539964	8541963	2000	"-"	"ENSG00000166523"	"CLEC4E"	2
"chr11"	126268145	126270144	2000	"-"	"ENSG00000182934"	"SRPR"	1
"chr17"	39940474	39942473	2000	"+"	"ENSG00000204913"	"LRRC3C"	4
"chr7"	30593681	30595680	2000	"+"	"ENSG00000106105"	"GARS"	1
"chr22"	36859988	36861987	2000	"+"	"ENSG00000100365"	"NCF4"	9
"chr1"	158929796	158931795	2000	"+"	"ENSG00000163564"	"PYHIN1"	1
"chr19"	51889951	51891950	2000	"-"	"ENSG00000161551"	"ZNF577"	7
"chr11"	124542680	124544679	2000	"-"	"ENSG00000170953"	"OR8B12"	13
"chr3"	40308684	40310683	2000	"+"	"ENSG00000114784"	"EIF1B"	4
"chr17"	43005725	43007724	2000	"+"	"ENSG00000068079"	"IFI35"	2
"chr11"	69293138	69295137	2000	"+"	"ENSG00000172927"	"MYEOV"	2
"chrX"	155880293	155882292	2000	"+"	"ENSG00000124333"	"VAMP7"	0
"chr6"	145963424	145965423	2000	"-"	"ENSG00000146414"	"SHPRH"	0
"chr12"	96488571	96490570	2000	"+"	"ENSG00000188596"	"CFAP54"	2
"chr19"	40800297	40802296	2000	"+"	"ENSG00000268797"	"CTC-490E21.12"	1
"chr12"	30694987	30696986	2000	"-"	"ENSG00000133704"	"IPO8"	0
"chr20"	63656683	63658682	2000	"-"	"ENSG00000197457"	"STMN3"	0
"chr19"	13905453	13907452	2000	"-"	"ENSG00000132016"	"C19orf57"	12
"chr17"	8175400	8177399	2000	"-"	"ENSG00000179029"	"TMEM107"	0
"chr10"	49761380	49763379	2000	"-"	"ENSG00000197444"	"OGDHL"	1
"chr19"	40770648	40772647	2000	"+"	"ENSG00000261857"	"MIA"	1
"chr22"	44311852	44313851	2000	"-"	"ENSG00000138944"	"KIAA1644"	5
"chr11"	60728304	60730303	2000	"+"	"ENSG00000214782"	"MS4A18"	2
"chr10"	79511601	79513600	2000	"+"	"ENSG00000253626"	"EIF5AL1"	2
"chr3"	160398881	160400880	2000	"-"	"ENSG00000068885"	"IFT80"	3
"chr1"	159288714	159290713	2000	"+"	"ENSG00000179639"	"FCER1A"	0
"chr20"	36772819	36774818	2000	"-"	"ENSG00000149636"	"DSN1"	5
"chr10"	12042171	12044170	2000	"-"	"ENSG00000151461"	"UPF2"	0
"chrX"	51405915	51407914	2000	"+"	"ENSG00000187690"	"CXorf67"	1
"chr6"	6587108	6589107	2000	"+"	"ENSG00000112799"	"LY86"	0
"chr20"	406498	408497	2000	"+"	"ENSG00000125826"	"RBCK1"	0
"chr11"	118400154	118402153	2000	"+"	"ENSG00000167283"	"ATP5L"	17
"chr18"	25351191	25353190	2000	"-"	"ENSG00000198795"	"ZNF521"	1
"chr11"	58189434	58191433	2000	"+"	"ENSG00000186513"	"OR9Q2"	3
"chr15"	45586351	45588350	2000	"+"	"ENSG00000260170"	"RP11-96O20.4"	2
"chr3"	48187403	48189402	2000	"-"	"ENSG00000164045"	"CDC25A"	2
"chr16"	89971535	89973534	2000	"-"	"ENSG00000177946"	"CENPBD1"	6
"chr2"	68364173	68366172	2000	"+"	"ENSG00000115956"	"PLEK"	1
"chr3"	52680156	52682155	2000	"+"	"ENSG00000163938"	"GNL3"	0
"chr12"	80935414	80937413	2000	"+"	"ENSG00000111058"	"ACSS3"	1
"chr12"	6969893	6971892	2000	"+"	"ENSG00000126749"	"EMG1"	2
"chr11"	114399030	114401029	2000	"+"	"ENSG00000076053"	"RBM7"	1
"chr2"	106193340	106195339	2000	"-"	"ENSG00000115652"	"UXS1"	11
"chrX"	15334555	15336554	2000	"-"	"ENSG00000165195"	"PIGA"	0
"chr7"	128708061	128710060	2000	"+"	"ENSG00000135248"	"FAM71F1"	1
"chr16"	85897803	85899802	2000	"+"	"ENSG00000140968"	"IRF8"	0
"chr3"	184134038	184136037	2000	"+"	"ENSG00000145191"	"EIF2B5"	290
"chr16"	87948244	87950243	2000	"+"	"ENSG00000172530"	"BANP"	2
"chr1"	1723325	1725324	2000	"-"	"ENSG00000008128"	"CDK11A"	2
"chr11"	58203182	58205181	2000	"-"	"ENSG00000197887"	"OR1S2"	1
"chr20"	4014583	4016582	2000	"-"	"ENSG00000101236"	"RNF24"	0
"chr14"	24298834	24300833	2000	"-"	"ENSG00000157379"	"DHRS1"	1
"chr19"	53823395	53825394	2000	"-"	"ENSG00000142405"	"NLRP12"	0
"chr1"	229625234	229627233	2000	"+"	"ENSG00000135763"	"URB2"	0
"chr22"	21981817	21983816	2000	"-"	"ENSG00000100038"	"TOP3B"	109
"chr1"	50047014	50049013	2000	"+"	"ENSG00000162374"	"ELAVL4"	1
"chr10"	80355756	80357755	2000	"-"	"ENSG00000170788"	"DYDC1"	2
"chr17"	79800684	79802683	2000	"-"	"ENSG00000141570"	"CBX8"	3
"chr19"	4456823	4458822	2000	"-"	"ENSG00000167671"	"UBXN6"	5
"chr7"	107659635	107661634	2000	"+"	"ENSG00000091137"	"SLC26A4"	3
"chr5"	7868038	7870037	2000	"-"	"ENSG00000124279"	"FASTKD3"	13
"chr8"	33512602	33514601	2000	"-"	"ENSG00000129696"	"TTI2"	1
"chrX"	110943285	110945284	2000	"+"	"ENSG00000077264"	"PAK3"	0
"chr10"	88583531	88585530	2000	"-"	"ENSG00000184719"	"RNLS"	0
"chrX"	120941024	120943023	2000	"-"	"ENSG00000224089"	"CT47A10"	0
"chr10"	17808344	17810343	2000	"+"	"ENSG00000260314"	"MRC1"	0
"chr18"	47029079	47031078	2000	"-"	"ENSG00000183791"	"TCEB3C"	0
"chr11"	62664179	62666178	2000	"-"	"ENSG00000255432"	"RP11-831H9.11"	2
"chr12"	109022089	109024088	2000	"+"	"ENSG00000135093"	"USP30"	1
"chr3"	161495808	161497807	2000	"+"	"ENSG00000182447"	"OTOL1"	0
"chr3"	150762478	150764477	2000	"-"	"ENSG00000181788"	"SIAH2"	3
"chr19"	15085980	15087979	2000	"+"	"ENSG00000094661"	"OR1I1"	1
"chr2"	1743853	1745852	2000	"-"	"ENSG00000130508"	"PXDN"	33
"chr11"	72244665	72246664	2000	"-"	"ENSG00000165462"	"PHOX2A"	5
"chr1"	37033130	37035129	2000	"-"	"ENSG00000163873"	"GRIK3"	1
"chr1"	217630324	217632323	2000	"+"	"ENSG00000162814"	"SPATA17"	1
"chr10"	73921778	73923777	2000	"-"	"ENSG00000222047"	"C10orf55"	2
"chr11"	71877453	71879452	2000	"+"	"ENSG00000225805"	"CTD-2313N18.7"	1
"chr10"	648948	650947	2000	"+"	"ENSG00000180525"	"PRR26"	1
"chr19"	46228752	46230751	2000	"+"	"ENSG00000188293"	"IGFL1"	0
"chrX"	120877925	120879924	2000	"-"	"ENSG00000278646"	"RP1-321E8.5"	1
"chr3"	50298469	50300468	2000	"-"	"ENSG00000186792"	"HYAL3"	8
"chr16"	3035927	3037926	2000	"-"	"ENSG00000162069"	"CCDC64B"	3
"chrX"	133414491	133416490	2000	"-"	"ENSG00000076716"	"GPC4"	0
"chr22"	42552617	42554616	2000	"+"	"ENSG00000183569"	"SERHL2"	3
"chr19"	8513165	8515164	2000	"-"	"ENSG00000133250"	"ZNF414"	2
"chr4"	75989963	75991962	2000	"-"	"ENSG00000198301"	"SDAD1"	0
"chr11"	62671256	62673255	2000	"-"	"ENSG00000162194"	"LBHD1"	3
"chr10"	79559398	79561397	2000	"-"	"ENSG00000185303"	"SFTPA2"	1
"chr1"	6613608	6615607	2000	"-"	"ENSG00000162413"	"KLHL21"	291
"chr6"	34391675	34393674	2000	"-"	"ENSG00000272325"	"NUDT3"	3
"chr14"	60723349	60725348	2000	"-"	"ENSG00000100625"	"SIX4"	2
"chr20"	35614892	35616891	2000	"+"	"ENSG00000061656"	"SPAG4"	0
"chr9"	2716502	2718501	2000	"+"	"ENSG00000168263"	"KCNV2"	2
"chr9"	114929596	114931595	2000	"-"	"ENSG00000106952"	"TNFSF8"	4
"chr19"	32674407	32676406	2000	"+"	"ENSG00000186326"	"RGS9BP"	4
"chr19"	588893	590892	2000	"+"	"ENSG00000099822"	"HCN2"	8
"chr1"	233326768	233328767	2000	"+"	"ENSG00000143674"	"MLK4"	0
"chr7"	140923765	140925764	2000	"-"	"ENSG00000157764"	"BRAF"	0
"chrX"	48827873	48829872	2000	"+"	"ENSG00000187682"	"ERAS"	59
"chr14"	104864280	104866279	2000	"+"	"ENSG00000099814"	"CEP170B"	1
"chr18"	57585773	57587772	2000	"-"	"ENSG00000066926"	"FECH"	1
"chr1"	168224938	168226937	2000	"+"	"ENSG00000213064"	"SFT2D2"	1
"chrX"	10155945	10157944	2000	"+"	"ENSG00000073464"	"CLCN4"	49
"chr12"	4719341	4721340	2000	"+"	"ENSG00000130035"	"GALNT8"	0
"chr1"	98660701	98662700	2000	"+"	"ENSG00000162627"	"SNX7"	4
"chr2"	206085304	206087303	2000	"-"	"ENSG00000114933"	"INO80D"	0
"chr19"	48169604	48171603	2000	"-"	"ENSG00000105486"	"LIG1"	6
"chr16"	67392536	67394535	2000	"-"	"ENSG00000159713"	"TPPP3"	3
"chr6"	15245296	15247295	2000	"+"	"ENSG00000008083"	"JARID2"	16
"chr17"	44122703	44124702	2000	"-"	"ENSG00000108840"	"HDAC5"	4
"chr12"	50952922	50954921	2000	"+"	"ENSG00000214511"	"HIGD1C"	0
"chr11"	72222701	72224700	2000	"+"	"ENSG00000165458"	"INPPL1"	3
"chr5"	24643979	24645978	2000	"-"	"ENSG00000040731"	"CDH10"	3
"chr14"	24334094	24336093	2000	"-"	"ENSG00000129467"	"ADCY4"	3
"chr6"	148746328	148748327	2000	"+"	"ENSG00000111962"	"UST"	2
"chr1"	54199074	54201073	2000	"-"	"ENSG00000256407"	"RP11-446E24.4"	11
"chr6"	26537405	26539404	2000	"+"	"ENSG00000182952"	"HMGN4"	23
"chr8"	54134210	54136209	2000	"+"	"ENSG00000137547"	"MRPL15"	1
"chr1"	31943857	31945856	2000	"-"	"ENSG00000184007"	"PTP4A2"	1
"chr3"	168094976	168096975	2000	"-"	"ENSG00000173905"	"GOLIM4"	2
"chr10"	87658613	87660612	2000	"+"	"ENSG00000198682"	"PAPSS2"	2
"chr21"	43775446	43777445	2000	"-"	"ENSG00000160213"	"CSTB"	0
"chr2"	130508667	130510666	2000	"-"	"ENSG00000196834"	"POTEI"	4
"chr5"	23506155	23508154	2000	"+"	"ENSG00000164256"	"PRDM9"	1
"chr19"	48444773	48446772	2000	"+"	"ENSG00000105447"	"GRWD1"	0
"chr12"	10435002	10437001	2000	"-"	"ENSG00000255641"	"RP11-277P12.6"	1
"chr22"	22519271	22521270	2000	"-"	"ENSG00000169548"	"ZNF280A"	6
"chr19"	19319845	19321844	2000	"-"	"ENSG00000105705"	"SUGP1"	1
"chr5"	31192750	31194749	2000	"+"	"ENSG00000113361"	"CDH6"	16
"chr12"	111752890	111754889	2000	"+"	"ENSG00000257767"	"RP11-162P23.2"	4
"chr2"	231960245	231962244	2000	"+"	"ENSG00000144535"	"DIS3L2"	1
"chr12"	751593	753592	2000	"+"	"ENSG00000060237"	"WNK1"	53
"chr12"	10419596	10421595	2000	"-"	"ENSG00000205810"	"KLRC3"	2
"chr19"	543034	545033	2000	"+"	"ENSG00000197540"	"GZMM"	1
"chr6"	121434692	121436691	2000	"+"	"ENSG00000152661"	"GJA1"	1
"chr19"	14084876	14086875	2000	"-"	"ENSG00000188032"	"C19orf67"	3
"chr6"	34425049	34427048	2000	"-"	"ENSG00000270800"	"RPS10-NUDT3"	3
"chr7"	21542215	21544214	2000	"+"	"ENSG00000105877"	"DNAH11"	2
"chr19"	6392982	6394981	2000	"-"	"ENSG00000125651"	"GTF2F1"	37
"chr19"	7514292	7516291	2000	"+"	"ENSG00000198816"	"ZNF358"	8
"chr19"	48464837	48466836	2000	"+"	"ENSG00000268465"	"CTC-273B12.7"	27
"chr19"	7506052	7508051	2000	"+"	"ENSG00000267952"	"CTD-2207O23.12"	3
"chr19"	32675598	32677597	2000	"-"	"ENSG00000105186"	"ANKRD27"	1
"chr6"	26595952	26597951	2000	"+"	"ENSG00000146109"	"ABT1"	227
"chr5"	135534950	135536949	2000	"-"	"ENSG00000181965"	"NEUROG1"	2
"chr12"	111765887	111767886	2000	"+"	"ENSG00000111275"	"ALDH2"	3
"chr2"	48439598	48441597	2000	"+"	"ENSG00000162869"	"PPP1R21"	3
"chr19"	48454509	48456508	2000	"+"	"ENSG00000182324"	"KCNJ14"	0
"chr11"	114399682	114401681	2000	"+"	"ENSG00000255663"	"RP11-212D19.4"	2
"chr4"	25654301	25656300	2000	"+"	"ENSG00000157765"	"SLC34A2"	0
"chr13"	41131747	41133746	2000	"-"	"ENSG00000165572"	"KBTBD6"	2
"chr1"	112465541	112467540	2000	"+"	"ENSG00000134245"	"WNT2B"	1
"chr8"	7925337	7927336	2000	"+"	"ENSG00000215356"	"ZNF705B"	0
"chr4"	46993408	46995407	2000	"-"	"ENSG00000109158"	"GABRA4"	2
"chr11"	71927655	71929654	2000	"-"	"ENSG00000254469"	"RP11-849H4.2"	6
"chr3"	53493656	53495655	2000	"+"	"ENSG00000157388"	"CACNA1D"	0
"chr13"	40665598	40667597	2000	"-"	"ENSG00000150907"	"FOXO1"	4
"chr14"	52313305	52315304	2000	"+"	"ENSG00000125384"	"PTGER2"	5
"chr17"	37642465	37644464	2000	"-"	"ENSG00000278053"	"DDX52"	1
"chr1"	23193730	23195729	2000	"-"	"ENSG00000179546"	"HTR1D"	4
"chr19"	48468032	48470031	2000	"+"	"ENSG00000105443"	"CYTH2"	0
"chr14"	73590706	73592705	2000	"+"	"ENSG00000177465"	"ACOT4"	2
"chr2"	70977380	70979379	2000	"+"	"ENSG00000144031"	"ANKRD53"	2
"chr11"	119066692	119068691	2000	"+"	"ENSG00000160695"	"VPS11"	62
"chr10"	107163535	107165534	2000	"-"	"ENSG00000108018"	"SORCS1"	1
"chr1"	54622557	54624556	2000	"-"	"ENSG00000162391"	"FAM151A"	3
"chr4"	2624261	2626260	2000	"+"	"ENSG00000125386"	"FAM193A"	4
"chr19"	54338151	54340150	2000	"-"	"ENSG00000239961"	"LILRA4"	1
"chr17"	73164012	73166011	2000	"+"	"ENSG00000180616"	"SSTR2"	1
"chr1"	25810470	25812469	2000	"+"	"ENSG00000255054"	"RP1-317E23.6"	2
"chr9"	6412151	6414150	2000	"+"	"ENSG00000147854"	"UHRF2"	21
"chr12"	4561204	4563203	2000	"+"	"ENSG00000010219"	"DYRK4"	2
"chr19"	1523074	1525073	2000	"+"	"ENSG00000185988"	"PLK5"	10
"chr16"	3023027	3025026	2000	"+"	"ENSG00000131652"	"THOC6"	3
"chr9"	98942179	98944178	2000	"+"	"ENSG00000204291"	"COL15A1"	3
"chr2"	69892560	69894559	2000	"+"	"ENSG00000124380"	"SNRNP27"	1
"chr7"	105531085	105533084	2000	"+"	"ENSG00000135249"	"RINT1"	1
"chr7"	71131169	71133168	2000	"+"	"ENSG00000185274"	"WBSCR17"	1
"chr2"	119428901	119430900	2000	"+"	"ENSG00000171227"	"TMEM37"	0
"chr14"	74712144	74714143	2000	"+"	"ENSG00000119616"	"FCF1"	6
"chr9"	61189003	61191002	2000	"+"	"ENSG00000276040"	"SPATA31A7"	0
"chr4"	137531495	137533494	2000	"-"	"ENSG00000189184"	"PCDH18"	1
